売上日,伝票番号,取引区分,締切,得意先コード,得意先名,税転嫁,納入先コード,納入先名,担当者コード,担当者名,内訳,出荷,商品コード,商品名/摘要,単位,入数,ケース,倉庫コード,倉庫名,数量,原単価,単価,粗利益,金額,主プロジェクトコード,副プロジェクトコード,プロジェクト名,課税区分,備考,見積番号,受注番号
2017年05月13日,00004201,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/171356YX,KM9773,反,0 ,0 ,0000,共通倉庫,1 ,"28,862 ","30,000 ","1,138 ","30,000 ",,,,課税 8.0%,5/13   05-0049,,
2017年05月13日,00004201,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,,,,《消費税》,,0 ,0 ,,,0 ,0 ,0 ,0 ,"4,800 ",,,,,,,
2017年05月13日,00004202,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/SAMPLE,KM9823 18M,点,0 ,0 ,0000,共通倉庫,1 ,0 ,"30,000 ","30,000 ","30,000 ",,,,課税 8.0%,381,,
2017年05月13日,00004202,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/SAMPLE,KM9824 18.3M,点,0 ,0 ,0000,共通倉庫,1 ,0 ,"30,000 ","30,000 ","30,000 ",,,,課税 8.0%,381,,
2017年05月13日,00004202,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,,,,《消費税》,,0 ,0 ,,,0 ,0 ,0 ,0 ,"4,800 ",,,,,,,
2017年05月23日,00004287,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/171222YX,R8510,反,0 ,0 ,HARA,原工場,12 ,"13,581 ","13,800 ","2,628 ","165,600 ",,,,課税 8.0%,5/23   05-0123,,
2017年05月23日,00004287,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,,,,《消費税》,,0 ,0 ,,,0 ,0 ,0 ,0 ,"13,248 ",,,,,,,
2017年05月24日,00004301,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,5/290172ZA,R8490,反,0 ,0 ,0000,共通倉庫,65 ,"14,160 ","15,350 ","77,350 ","997,750 ",,,,課税 8.0%,5/24   05-0133,,
2017年05月24日,00004301,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,,,,《消費税》,,0 ,0 ,,,0 ,0 ,0 ,0 ,"79,820 ",,,,,,,
2017年05月30日,00004357,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,通常,,NO171283YX,R8660,反,0 ,0 ,HARA,原工場,5 ,"12,470 ","18,500 ","30,150 ","92,500 ",,,,課税 8.0%,5/30   05-0177,,
2017年05月30日,00004357,掛売上,今回,011,旭化成アドバンス株式会社,外税/伝票計,,,B,板鼻健太郎B,,,,《消費税》,,0 ,0 ,,,0 ,0 ,0 ,0 ,"7,400 ",,,,,,,
